Title,Item Description,Hyperlink
Study of a cat,"1 photographic print : gelatin silver. | Photograph shows close-up portrait of a cat, possibly one of the cats that Arnold Genthe called Buzzer.","<a href=""https://www.loc.gov/item/00652567/"" rel=""http://www.loc.gov/item/00652567/"">
        

        

        
            
                
                    Study of a cat
                
            
        

        
        
        </a>"
[Black cat in garden],"1 drawing : watercolor, gouache, and ink over graphite underdrawing. | Drawing shows a black cat walking stealthily through a garden full of brightly colored flowers.","<a href=""https://www.loc.gov/item/2005693005/"" rel=""http://www.loc.gov/item/2005693005/"">
        

        

        
            
                
                    [Black cat in garden]
                
            
        

        
        
        </a>"
"Clicker training for cats /
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",No data listed,"<a href=""//lccn.loc.gov/2001117576"" rel=""http://www.loc.gov/item/2001117576/"" target=""_blank"">
        

        

        
            
                
                    Clicker training for cats /
                
            
        

        
        
        </a>"
Cats at play,"1 transparency : autochrome, color ; 8 x 10 in.","<a href=""https://www.loc.gov/item/2016796356/"" rel=""http://www.loc.gov/item/2016796356/"">
        

        

        
            
                
                    Cats at play
                
            
        

        
        
        </a>"
[Cats at play],1 transparency : glass ; 8 x 10 in.,"<a href=""https://www.loc.gov/item/2016796873/"" rel=""http://www.loc.gov/item/2016796873/"">
        

        

        
            
                
                    [Cats at play]
                
            
        

        
        
        </a>"
"Cat Island, July 1935",1 photographic print.,"<a href=""https://www.loc.gov/item/2007660208/"" rel=""http://www.loc.gov/item/2007660208/"">
        

        

        
            
                
                    Cat Island, July 1935
                
            
        

        
        
        </a>"
"Cat Island, July 1935",1 photographic print.,"<a href=""https://www.loc.gov/item/2007660209/"" rel=""http://www.loc.gov/item/2007660209/"">
        

        

        
            
                
                    Cat Island, July 1935
                
            
        

        
        
        </a>"
[Cats with cauldron],1 print : chromolithograph ; sheet 92 x 122 cm. or less.,"<a href=""https://www.loc.gov/item/2018696753/"" rel=""http://www.loc.gov/item/2018696753/"">
        

        

        
            
                
                    [Cats with cauldron]
                
            
        

        
        
        </a>"
[Dressing up the cat],1 drawing : wash.,"<a href=""https://www.loc.gov/item/2010717875/"" rel=""http://www.loc.gov/item/2010717875/"">
        

        

        
            
                
                    [Dressing up the cat]
                
            
        

        
        
        </a>"
The diseases of the cat,Also available in digital form.,"<a href=""https://www.loc.gov/item/01027740/"" rel=""http://www.loc.gov/item/01027740/"">
        

        

        
            
                
                    The diseases of the cat
                
            
        

        
        
        </a>"
Roger Benfield Cates Collection,"Sergeant, Army, Vietnam War, 1961-1975 - Cu Chi, Vietnam.","<a href=""https://www.loc.gov/item/afc2001001.76358/"" rel=""http://www.loc.gov/item/afc2001001.76358/"">
        

        

        
            
                
                    Roger Benfield Cates Collection
                
            
        

        
        
        </a>"
